name,service_area,craft_type,phone,email,website,address,notes,source,status,score,latitude,longitude,scraped_at,match_key
Test Contractor 1,Toronto,stonemason,416-555-1234,test1@example.com,https://example1.com,"123 Test St, Toronto, ON",Test notes,test,,,,,,
Test Contractor 2,Vancouver,mason,604-555-5678,test2@example.com,https://example2.com,"456 Test Ave, Vancouver, BC",Test notes 2,test,,,,,,
A&A Masonry Inc.,Toronto,craft:stonemason,,,https://aamasonry.ca/,33 Billingham Road,,OSM_Auto,scraped,8.0,43.6330145,-79.5499421,2025-09-09T02:12:03.155550,A&A Masonry Inc.|Toronto
C.B. Marblecraft,Toronto,craft:stonemason,+1-416-741-1585,info@cbmarblecraft.com,http://cbmarblecraft.com/,17 Airview Road,,OSM_Auto,scraped,12.0,43.72056,-79.5753131,2025-09-09T02:12:03.155572,C.B. Marblecraft|Toronto
Woodbecker Inc,Toronto,craft:carpenter,+1 416-364-8436,,https://woodbecker.com,21 Mansion Avenue,,OSM_Auto,scraped,10.0,43.6909935,-79.2818092,2025-09-09T02:12:06.638981,Woodbecker Inc|Toronto
Professional Roofers Toronto,Toronto,craft:roofer,,,https://professionalrooferstoronto.ca/,,,OSM_Auto,scraped,8.0,43.7657601,-79.5563948,2025-09-09T02:12:22.669342,Professional Roofers Toronto|Toronto
Coverall Roofing,Toronto,craft:roofer,+1 (647) 470-4076,,https://coverallroofing.ca/,1620a Dupont Street,,OSM_Auto,scraped,10.0,43.6650817,-79.4550053,2025-09-09T02:12:22.669367,Coverall Roofing|Toronto
Can-Sky Roofing & Sheet Metal Incorporated,Toronto,craft:roofer,+1-416-763-5131,info@canskyroofing.com,https://www.canskyroofing.com/,26 Taber Road,,OSM_Auto,scraped,12.0,43.7191947,-79.5751307,2025-09-09T02:12:22.669372,Can-Sky Roofing & Sheet Metal Incorporated|Toronto
Home Hardware,Toronto,shop:hardware,+1-416-924-3921,,https://www.homehardware.ca/en/store/12748,485 Parliament Street,,OSM_Auto,scraped,10.0,43.6642728,-79.3677919,2025-09-09T02:12:30.268593,Home Hardware|Toronto
Aspen Ridge Homes,Toronto,office:construction_company,,,,,,OSM_Auto,scraped,5.0,43.8307212,-79.4809507,2025-09-09T02:12:37.449394,Aspen Ridge Homes|Toronto
Canadian Stucco,Toronto,office:construction_company,+1-416-635-5373,info@canadianstucco.ca,https://www.canadianstucco.ca/,130 Lepage Ct,,OSM_Auto,scraped,12.0,43.760395,-79.4820875,2025-09-09T02:12:37.449441,Canadian Stucco|Toronto
Green Heating and Air,Toronto,office:construction_company,+1 416-627-7724,info@greenheatingandair.ca,https://www.greenheatingandair.ca/,1373 Bathurst Street,,OSM_Auto,scraped,12.0,43.6804,-79.4170566,2025-09-09T02:12:37.449447,Green Heating and Air|Toronto
